nano/stable,now 3.2-3 amd64 [installed]
ncurses-base/stable,now 6.1+20181013-2+deb10u2 all [installed]
ncurses-bin/stable,now 6.1+20181013-2+deb10u2 amd64 [installed]
ncurses-term/stable,now 6.1+20181013-2+deb10u2 all [installed]
netbase/stable,now 5.6 all [installed]
netcat-traditional/stable,now 1.10-41.1 amd64 [installed]
openssh-client/stable,now 1:7.9p1-10+deb10u2 amd64 [installed]
openssl/stable,now 1.1.1d-0+deb10u2 amd64 [installed,upgradable to: 1.1.1d-0+deb10u3]
passwd/stable,now 1:4.5-1.1 amd64 [installed]
pciutils/stable,now 1:3.5.2-1 amd64 [installed]
perl-base/stable,now 5.28.1-6 amd64 [installed]
perl/stable,now 5.28.1-6 amd64 [installed]
procps/stable,now 2:3.3.15-2 amd64 [installed]
pulseaudio-module-bluetooth/stable,now 12.2-4+deb10u1 amd64 [installed]
pulseaudio/stable,now 12.2-4+deb10u1 amd64 [installed]
python/stable,now 2.7.16-1 amd64 [installed]
qt5-gtk-platformtheme/stable,now 5.11.3+dfsg1-1+deb10u2 amd64 [installed,upgradable to: 5.11.3+dfsg1-1+deb10u3]
ranger/stable,now 1.9.2-4 all [installed]
readline-common/stable,now 7.0-5 all [installed]
reportbug/stable,now 7.5.3~deb10u1 all [installed]
rsyslog/stable,now 8.1901.0-1 amd64 [installed]
sed/stable,now 4.7-1 amd64 [installed]
sensible-utils/stable,now 0.0.12 all [installed]
stterm/stable,now 0.8.2-1 amd64 [installed]
sudo/stable,now 1.8.27-1+deb10u2 amd64 [installed]
sxiv/stable,now 25-1 amd64 [installed]
systemd-sysv/stable,now 241-7~deb10u3 amd64 [installed]
systemd/stable,now 241-7~deb10u3 amd64 [installed]
sysvinit-utils/stable,now 2.93-8 amd64 [installed]
tar/stable,now 1.30+dfsg-6 amd64 [installed]
task-english/stable,now 3.53 all [installed]
task-laptop/stable,now 3.53 all [installed]
tasksel-data/stable,now 3.53 all [installed]
tasksel/stable,now 3.53 all [installed]
telnet/stable,now 0.17-41.2 amd64 [installed]
traceroute/stable,now 1:2.1.0-2 amd64 [installed]
tzdata/stable,stable-updates,now 2019c-0+deb10u1 all [installed]
ucf/stable,now 3.0038+nmu1 all [installed]
udev/stable,now 241-7~deb10u3 amd64 [installed]
usbutils/stable,now 1:010-3 amd64 [installed]
util-linux/stable,now 2.33.1-0.1 amd64 [installed]
vim-airline/stable,now 0.10-1 all [installed]
vim-common/stable,now 2:8.1.0875-5 all [installed]
vim-tiny/stable,now 2:8.1.0875-5 amd64 [installed]
vim/stable,now 2:8.1.0875-5 amd64 [installed]
wamerican/stable,now 2018.04.16-1 all [installed]
wget/stable,now 1.20.1-1.1 amd64 [installed]
whiptail/stable,now 0.52.20-8 amd64 [installed]
xinit/stable,now 1.4.0-1 amd64 [installed]
xxd/stable,now 2:8.1.0875-5 amd64 [installed]
xz-utils/stable,now 5.2.4-1 amd64 [installed]
zlib1g/stable,now 1:1.2.11.dfsg-1 amd64 [installed]
zsh/stable,now 5.7.1-1 amd64 [installed]
